date,value,breadth_200,breadth_50
2022-03-10,4259.52001953125,39.95943,27.856659571329754
2022-03-11,4204.31005859375,37.931034,28.465179443359375
2022-03-14,4173.10986328125,38.336716,27.3157533009847
2022-03-15,4262.4501953125,41.78499,28.397565205891926
2022-03-16,4357.85986328125,45.841785,34.14469210306803
2022-03-17,4411.669921875,49.4929,42.73157501220703
2022-03-18,4463.1201171875,52.941177,51.38607279459635
2022-03-21,4461.18017578125,51.521294,55.71332041422526
2022-03-22,4511.60986328125,53.752537,58.48546473185221
2022-03-23,4456.240234375,49.290062,55.98377482096354
2022-03-24,4520.16015625,53.346855,57.06558736165365
2022-03-25,4543.06005859375,54.15822,58.28262456258138
2022-03-28,4575.52001953125,55.98377,63.55645751953125
2022-03-29,4631.60009765625,62.271805,69.91210174560547
2022-03-30,4602.4501953125,59.229206,72.81947072347005
2022-03-31,4530.41015625,54.361057,72.278564453125
2022-04-01,4545.85986328125,53.955376,68.15415700276692
2022-04-04,4582.64013671875,54.15822,66.80189259847005
2022-04-05,4525.1201171875,50.5071,66.05814743041992
2022-04-06,4481.14990234375,49.89858,62.81271107991537
2022-04-07,4500.2099609375,49.290062,59.36443583170573
2022-04-08,4488.27978515625,48.68154,56.99797058105469
2022-04-11,4412.52978515625,47.058823,55.307638804117836
2022-04-12,4397.4501953125,46.450306,53.0087890625
2022-04-13,4446.58984375,48.478703,52.941174825032554
2022-04-14,4392.58984375,47.870182,53.61730829874674
2022-04-18,4391.68994140625,47.261665,53.684922536214195
2022-04-19,4462.2099609375,49.69574,55.30764134724935
2022-04-20,4459.4501953125,52.332657,59.02636973063151
2022-04-21,4393.66015625,49.4929,61.18999226888021
2022-04-22,4271.77978515625,43.813385,55.37525304158529
2022-04-25,4296.1201171875,45.030426,48.14063517252604
2022-04-26,4175.2001953125,41.58215,40.22988510131836
2022-04-27,4183.9599609375,42.596348,37.457742055257164
2022-04-28,4287.5,45.841785,37.25490188598633
2022-04-29,4131.93017578125,37.119675,34.88843790690104
2022-05-02,4155.3798828125,36.511154,31.304935455322266
2022-05-03,4175.47998046875,38.336716,26.57200813293457
2022-05-04,4300.169921875,42.39351,33.739013036092125
2022-05-05,4146.8701171875,36.713997,35.023664474487305
2022-05-06,4123.33984375,35.091278,34.34753227233887
2022-05-09,3991.239990234375,31.237322,24.40838368733724
2022-05-10,4001.050048828125,30.223125,20.41920216878255
2022-05-11,3935.179931640625,29.411766,16.1595671971639
2022-05-12,3930.080078125,29.006084,14.739688873291016
2022-05-13,4023.889892578125,32.86004,15.753887176513672
2022-05-16,4008.010009765625,33.06288,18.05273723602295
2022-05-17,4088.85009765625,35.294117,23.394184112548828
2022-05-18,3923.679931640625,28.194725,21.97430642445882
2022-05-19,3900.7900390625,27.586206,19.47261619567871
2022-05-20,3901.360107421875,26.36917,13.522650082906088
2022-05-23,3973.75,29.208925,14.46923573811849
2022-05-24,3941.47998046875,30.628803,17.03853956858317
2022-05-25,3978.72998046875,30.831644,20.554428736368816
2022-05-26,4057.840087890625,33.87424,25.016902923583984
2022-05-27,4158.240234375,38.133873,33.60378646850586
2022-05-31,4132.14990234375,36.916836,39.35091336568197
2022-06-01,4101.22998046875,34.07708,39.959433237711586
2022-06-02,4176.81982421875,36.511154,39.68898010253906
2022-06-03,4108.5400390625,34.27992,39.012847900390625
2022-06-06,4121.43017578125,34.6856,42.055442810058594
2022-06-07,4160.68017578125,38.336716,43.61054611206055
2022-06-08,4115.77001953125,34.27992,43.5429318745931
2022-06-09,4017.820068359375,29.006084,37.52535311381022
2022-06-10,3900.860107421875,25.963488,24.949289004007976
2022-06-13,3749.6298828125,19.269775,13.793102741241455
2022-06-14,3735.47998046875,17.241379,7.3022308349609375
2022-06-15,3789.989990234375,18.255577,5.273833433787028
2022-06-16,3666.77001953125,13.3874235,4.462474505106608
2022-06-17,3674.840087890625,12.373225,3.71872878074646
2022-06-21,3764.7900390625,17.241379,3.31304923693339
2022-06-22,3759.889892578125,16.63286,4.53008770942688
2022-06-23,3795.72998046875,18.458418,7.3022308349609375
2022-06-24,3911.739990234375,23.123732,12.914130846659342
2022-06-27,3900.110107421875,23.935091,18.25557740529378
2022-06-28,3821.550048828125,22.312372,19.743069012959797
2022-06-29,3818.830078125,22.312372,17.511831919352215
2022-06-30,3785.3798828125,21.703854,15.280594825744629
2022-07-01,3825.330078125,24.74645,18.796483357747395
2022-07-05,3831.389892578125,20.892494,21.50101312001546
2022-07-06,3845.080078125,20.283976,25.422581990559895
2022-07-07,3902.6201171875,22.312372,27.04530080159505
2022-07-08,3899.3798828125,21.906693,29.141311645507812
2022-07-11,3854.429931640625,21.095333,29.34415117899577
2022-07-12,3818.800048828125,20.283976,26.774847666422527
2022-07-13,3801.780029296875,19.066936,23.52941131591797
2022-07-14,3790.3798828125,18.255577,21.027720769246418
2022-07-15,3863.159912109375,19.269775,23.12373161315918
2022-07-18,3830.85009765625,17.241379,24.340770085652668
2022-07-19,3936.68994140625,21.095333,33.53617286682129
2022-07-20,3959.89990234375,20.689655,41.64976247151693
2022-07-21,3998.949951171875,22.718052,54.22582880655924
2022-07-22,3961.6298828125,22.312372,57.87694422403971
2022-07-25,3966.840087890625,25.55781,60.784314473470054
2022-07-26,3921.050048828125,23.935091,59.093981424967446
2022-07-27,4023.610107421875,27.991884,62.880322774251304
2022-07-28,4072.429931640625,34.6856,68.08654276529948
2022-07-29,4130.2900390625,37.322514,76.06490580240886
2022-08-01,4118.6298828125,36.713997,79.44556935628255
2022-08-02,4091.18994140625,33.87424,78.97227732340495
2022-08-03,4155.169921875,38.336716,78.49898529052734
2022-08-04,4151.93994140625,38.133873,77.28194681803386
2022-08-05,4145.18994140625,38.133873,77.2143325805664
2022-08-08,4140.06005859375,39.35091,77.07910664876302
2022-08-09,4122.47021484375,36.308315,77.55239868164062
2022-08-10,4210.240234375,44.016228,81.20351664225261
2022-08-11,4207.27001953125,44.827587,84.65179189046223
2022-08-12,4280.14990234375,51.11562,89.79039764404297
2022-08-15,4297.14013671875,51.521294,91.54833984375
2022-08-16,4305.2001953125,53.955376,93.17105865478516
2022-08-17,4274.0400390625,50.91278,92.96822102864583
2022-08-18,4283.740234375,52.73834,93.17106119791667
2022-08-19,4228.47998046875,47.4645,92.15686289469402
2022-08-22,4137.990234375,39.75659,89.0466537475586
2022-08-23,4128.72998046875,39.95943,85.26031239827473
2022-08-24,4140.77001953125,40.77079,82.75862121582031
2022-08-25,4199.1201171875,45.436104,83.84043375651042
2022-08-26,4057.659912109375,37.119675,79.51318613688152
2022-08-29,4030.610107421875,35.6998,72.68424860636394
2022-08-30,3986.159912109375,32.048683,61.79851404825846
2022-08-31,3955.0,30.628803,54.42866770426432
2022-09-01,3966.85009765625,31.643003,49.290060679117836
2022-09-02,3924.260009765625,29.006084,44.21906661987305
2022-09-06,3908.18994140625,29.208925,41.24408467610677
2022-09-07,3979.8701171875,35.6998,42.86680221557617
2022-09-08,4006.179931640625,37.728195,49.56051508585612
2022-09-09,4067.360107421875,42.39351,59.77011489868164
2022-09-12,4110.41015625,44.016228,67.27518463134766
2022-09-13,3932.68994140625,34.07708,61.73089599609375
2022-09-14,3946.010009765625,33.6714,52.73833465576172
2022-09-15,3901.35009765625,31.440163,39.756591796875
2022-09-16,3873.330078125,29.411766,35.158891677856445
2022-09-19,3899.889892578125,30.831644,32.58958752950033
2022-09-20,3855.929931640625,28.194725,29.27653694152832
2022-09-21,3789.929931640625,25.152128,25.62542152404785
2022-09-22,3757.989990234375,21.095333,18.390803972880047
2022-09-23,3693.22998046875,16.22718,11.359026432037354
2022-09-26,3655.0400390625,13.184585,6.6937118371327715
2022-09-27,3647.2900390625,12.170385,3.8539552688598633
2022-09-28,3719.0400390625,16.63286,5.138607184092204
2022-09-29,3640.469970703125,13.995942,6.152805884679158
2022-09-30,3585.6201171875,12.778905,6.490872224171956
2022-10-03,3678.429931640625,17.03854,6.761325041453044
2022-10-04,3790.929931640625,24.13793,12.102772076924643
2022-10-05,3783.280029296875,24.34077,18.458417574564617
2022-10-06,3744.52001953125,21.906693,21.771466573079426
2022-10-07,3639.659912109375,18.052738,18.12035083770752
2022-10-10,3612.389892578125,17.44422,14.604461669921875
2022-10-11,3588.840087890625,17.647058,12.440838177998861
2022-10-12,3577.030029296875,17.241379,12.237998326619467
2022-10-13,3669.909912109375,19.675455,14.063556353251139
